IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150467427,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Thursday,05/28/2015,18:55,SOUTHERN,NONE,0 Block of ELGINPARK ST,-122.423155228838,37.7706418946037,"(37.7706418946037, -122.423155228838)",15046742705071
150466758,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Thursday,05/28/2015,18:45,TENDERLOIN,"ARREST, BOOKED",0 Block of OFARRELL ST,-122.405895369887,37.7867342184983,"(37.7867342184983, -122.405895369887)",15046675806362
150466322,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Thursday,05/28/2015,18:37,SOUTHERN,"ARREST, BOOKED",HOWARD ST / 3RD ST,-122.400473580152,37.7850290611875,"(37.7850290611875, -122.400473580152)",15046632230200
150466322,OTHER OFFENSES,"PERMIT VIOLATION, POLICE (GENERAL)",Thursday,05/28/2015,18:37,SOUTHERN,"ARREST, BOOKED",HOWARD ST / 3RD ST,-122.400473580152,37.7850290611875,"(37.7850290611875, -122.400473580152)",15046632230000
150466300,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,05/28/2015,18:36,NORTHERN,"ARREST, BOOKED",BROADWAY ST / VANNESS AV,-122.423413057205,37.795737109246,"(37.795737109246, -122.423413057205)",15046630065016
150466316,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,05/28/2015,18:31,TENDERLOIN,"ARREST, BOOKED",100 Block of LEAVENWORTH ST,-122.414029821727,37.7823291237659,"(37.7823291237659, -122.414029821727)",15046631662050
150466316,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Thursday,05/28/2015,18:31,TENDERLOIN,"ARREST, BOOKED",100 Block of LEAVENWORTH ST,-122.414029821727,37.7823291237659,"(37.7823291237659, -122.414029821727)",15046631665010
150466877,ARSON,ARSON,Thursday,05/28/2015,18:30,MISSION,"ARREST, BOOKED",200 Block of DORLAND ST,-122.429567892224,37.7620293003384,"(37.7620293003384, -122.429567892224)",15046687726030
150466877,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Thursday,05/28/2015,18:30,MISSION,"ARREST, BOOKED",200 Block of DORLAND ST,-122.429567892224,37.7620293003384,"(37.7620293003384, -122.429567892224)",15046687705013
150469906,LARCENY/THEFT,GRAND THEFT BICYCLE,Thursday,05/28/2015,18:30,INGLESIDE,NONE,800 Block of TERESITA BL,-122.446174329154,37.7338795719161,"(37.7338795719161, -122.446174329154)",15046990606314
150469906,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Thursday,05/28/2015,18:30,INGLESIDE,NONE,800 Block of TERESITA BL,-122.446174329154,37.7338795719161,"(37.7338795719161, -122.446174329154)",15046990605043
150466269,OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,05/28/2015,18:18,BAYVIEW,"ARREST, BOOKED",SAN BRUNO AV / PAUL AV,-122.402109488937,37.7240376461441,"(37.7240376461441, -122.402109488937)",15046626965015
150467875,NON-CRIMINAL,LOST PROPERTY,Thursday,05/28/2015,18:15,CENTRAL,NONE,MONTGOMERY ST / BUSH ST,-122.402384024411,37.7909700100406,"(37.7909700100406, -122.402384024411)",15046787571000
150467110,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,05/28/2015,18:00,BAYVIEW,NONE,0 Block of WHITFIELD CT,-122.381757562453,37.7310148735637,"(37.7310148735637, -122.381757562453)",15046711006243
150466407,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,05/28/2015,18:00,MISSION,NONE,200 Block of DUBOCE AV,-122.425469267279,37.7697364666076,"(37.7697364666076, -122.425469267279)",15046640728160
150466645,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,05/28/2015,18:00,TENDERLOIN,NONE,0 Block of GOLDEN GATE AV,-122.411268613368,37.7822500873167,"(37.7822500873167, -122.411268613368)",15046664506243
150469376,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,05/28/2015,18:00,MISSION,NONE,2400 Block of MISSION ST,-122.418887293065,37.7576217212029,"(37.7576217212029, -122.418887293065)",15046937607021
150469508,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,05/28/2015,18:00,TARAVAL,NONE,25TH AV / SLOAT BL,-122.481133598212,37.734470249439,"(37.734470249439, -122.481133598212)",15046950806242
156128035,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,18:00,CENTRAL,NONE,PINE ST / GRANT AV,-122.405744762009,37.7914980828425,"(37.7914980828425, -122.405744762009)",15612803506244
150466275,WARRANTS,WARRANT ARREST,Thursday,05/28/2015,17:58,MISSION,"ARREST, BOOKED",3900 Block of 24TH ST,-122.430794211054,37.7515574999223,"(37.7515574999223, -122.430794211054)",15046627563010
150466275,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Thursday,05/28/2015,17:58,MISSION,"ARREST, BOOKED",3900 Block of 24TH ST,-122.430794211054,37.7515574999223,"(37.7515574999223, -122.430794211054)",15046627505014
